Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value,Gender,Ages
Australia,AUS,1995.0,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",BAR.TER.SCHL.3034,1.1,male, age 30-34
Australia,AUS,1990.0,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",BAR.TER.SCHL.3034,1.21,male, age 30-34
Australia,AUS,1985.0,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",BAR.TER.SCHL.3034,1.21,male, age 30-34
Australia,AUS,1980.0,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",BAR.TER.SCHL.3034,1.0,male, age 30-34
Australia,AUS,1975.0,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",BAR.TER.SCHL.3034,0.84,male, age 30-34
Australia,AUS,1970.0,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",BAR.TER.SCHL.3034,0.92,male, age 30-34
Australia,AUS,2010.0,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",BAR.TER.SCHL.3034.FE,1.7,female, age 30-34
Australia,AUS,2005.0,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",BAR.TER.SCHL.3034.FE,1.47,female, age 30-34
Australia,AUS,2000.0,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",BAR.TER.SCHL.3034.FE,1.09,female, age 30-34
Australia,AUS,1995.0,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",BAR.TER.SCHL.3034.FE,1.14,female, age 30-34
Australia,AUS,1990.0,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",BAR.TER.SCHL.3034.FE,1.23,female, age 30-34
Australia,AUS,1985.0,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",BAR.TER.SCHL.3034.FE,1.1,female, age 30-34
Australia,AUS,1980.0,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",BAR.TER.SCHL.3034.FE,0.82,female, age 30-34
Australia,AUS,1975.0,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",BAR.TER.SCHL.3034.FE,0.55,female, age 30-34
Australia,AUS,1970.0,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",BAR.TER.SCHL.3034.FE,0.48,female, age 30-34
Australia,AUS,2010.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",BAR.TER.SCHL.3539,1.37,male, age 35-39
Australia,AUS,2005.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",BAR.TER.SCHL.3539,1.17,male, age 35-39
Australia,AUS,2000.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",BAR.TER.SCHL.3539,0.91,male, age 35-39
Australia,AUS,1995.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",BAR.TER.SCHL.3539,1.12,male, age 35-39
Australia,AUS,1990.0,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",BAR.TER.SCHL.3539,1.13,male, age 35-39
